filepath,label
inme\var_kanama_clean\10305.png,1
inme\yok_clean\14873.png,0
inme\yok_clean\16204.png,0
inme\yok_clean\13180.png,0
inme\var_iskemi_clean\10754.png,1
inme\var_kanama_clean\16363.png,1
inme\var_kanama_clean\10876.png,1
inme\yok_clean\11419.png,0
inme\var_iskemi_clean\15361.png,1
inme\yok_clean\13502.png,0
inme\yok_clean\15724.png,0
inme\yok_clean\14649.png,0
inme\yok_clean\14498.png,0
inme\yok_clean\11218.png,0
inme\yok_clean\14726.png,0
inme\yok_clean\13981.png,0
inme\var_iskemi_clean\14348.png,1
inme\yok_clean\15419.png,0
inme\yok_clean\10195.png,0
inme\var_kanama_clean\10877.png,1
inme\yok_clean\12799.png,0
inme\yok_clean\12132.png,0
inme\yok_clean\12345.png,0
inme\yok_clean\10949.png,0
inme\var_kanama_clean\15860.png,1
inme\yok_clean\16027.png,0
inme\yok_clean\14893.png,0
inme\var_iskemi_clean\12455.png,1
inme\var_iskemi_clean\13433.png,1
inme\yok_clean\16796.png,0
inme\yok_clean\16298.png,0
inme\var_iskemi_clean\12500.png,1
inme\yok_clean\14306.png,0
inme\var_iskemi_clean\13517.png,1
inme\yok_clean\13499.png,0
inme\yok_clean\12968.png,0
inme\yok_clean\12571.png,0
inme\yok_clean\12099.png,0
inme\yok_clean\11525.png,0
inme\yok_clean\13657.png,0
inme\yok_clean\14727.png,0
inme\var_iskemi_clean\12292.png,1
inme\yok_clean\14808.png,0
inme\var_kanama_clean\16644.png,1
inme\yok_clean\14776.png,0
inme\var_iskemi_clean\10263.png,1
inme\var_iskemi_clean\15850.png,1
inme\var_iskemi_clean\15981.png,1
inme\yok_clean\13871.png,0
inme\yok_clean\11295.png,0
inme\var_iskemi_clean\15184.png,1
inme\yok_clean\15197.png,0
inme\yok_clean\11514.png,0
inme\var_kanama_clean\16867.png,1
inme\yok_clean\17030.png,0
inme\var_kanama_clean\11315.png,1
inme\yok_clean\13449.png,0
inme\var_iskemi_clean\10181.png,1
inme\yok_clean\10565.png,0
inme\var_iskemi_clean\16327.png,1
inme\yok_clean\15479.png,0
inme\yok_clean\11949.png,0
inme\yok_clean\15293.png,0
inme\var_kanama_clean\10871.png,1
inme\yok_clean\14111.png,0
inme\yok_clean\15492.png,0
inme\yok_clean\15207.png,0
inme\var_kanama_clean\15574.png,1
inme\yok_clean\14234.png,0
inme\var_iskemi_clean\12600.png,1
inme\yok_clean\11939.png,0
inme\yok_clean\10550.png,0
inme\yok_clean\16403.png,0
inme\yok_clean\13877.png,0
inme\yok_clean\12332.png,0
inme\var_iskemi_clean\16920.png,1
inme\yok_clean\12042.png,0
inme\var_kanama_clean\14672.png,1
inme\var_kanama_clean\12459.png,1
inme\yok_clean\12397.png,0
inme\yok_clean\14704.png,0
inme\var_kanama_clean\13304.png,1
inme\yok_clean\13387.png,0
inme\yok_clean\16089.png,0
inme\yok_clean\11256.png,0
inme\var_kanama_clean\10143.png,1
inme\yok_clean\11621.png,0
inme\var_iskemi_clean\13567.png,1
inme\yok_clean\12215.png,0
inme\yok_clean\11928.png,0
inme\yok_clean\10186.png,0
inme\var_kanama_clean\14126.png,1
inme\yok_clean\11374.png,0
inme\yok_clean\15922.png,0
inme\var_kanama_clean\13799.png,1
inme\yok_clean\13739.png,0
inme\yok_clean\10340.png,0
inme\yok_clean\12667.png,0
inme\yok_clean\16017.png,0
inme\var_kanama_clean\12087.png,1
inme\yok_clean\16925.png,0
inme\yok_clean\10169.png,0
inme\yok_clean\13107.png,0
inme\var_kanama_clean\11193.png,1
inme\var_kanama_clean\11350.png,1
inme\yok_clean\13191.png,0
inme\var_kanama_clean\13722.png,1
inme\var_iskemi_clean\11139.png,1
inme\yok_clean\11219.png,0
inme\var_kanama_clean\16243.png,1
inme\yok_clean\16056.png,0
inme\yok_clean\12478.png,0
inme\yok_clean\10647.png,0
inme\yok_clean\16941.png,0
inme\yok_clean\14064.png,0
inme\var_kanama_clean\12885.png,1
inme\var_iskemi_clean\16322.png,1
inme\var_kanama_clean\10328.png,1
inme\yok_clean\16348.png,0
inme\yok_clean\16025.png,0
inme\yok_clean\14658.png,0
inme\yok_clean\11836.png,0
inme\yok_clean\16686.png,0
inme\yok_clean\16750.png,0
inme\yok_clean\13498.png,0
inme\var_kanama_clean\12698.png,1
inme\yok_clean\14044.png,0
inme\yok_clean\12489.png,0
inme\yok_clean\10978.png,0
inme\var_iskemi_clean\13895.png,1
inme\yok_clean\11779.png,0
inme\yok_clean\14304.png,0
inme\yok_clean\12399.png,0
inme\yok_clean\13235.png,0
inme\yok_clean\16555.png,0
inme\var_iskemi_clean\16668.png,1
inme\yok_clean\12936.png,0
inme\yok_clean\12546.png,0
inme\var_iskemi_clean\14669.png,1
inme\yok_clean\13215.png,0
inme\yok_clean\14107.png,0
inme\var_kanama_clean\10696.png,1
inme\yok_clean\12915.png,0
inme\var_kanama_clean\12518.png,1
inme\var_iskemi_clean\11202.png,1
inme\yok_clean\17003.png,0
inme\yok_clean\14491.png,0
inme\var_kanama_clean\11990.png,1
inme\var_iskemi_clean\12301.png,1
inme\yok_clean\11508.png,0
inme\yok_clean\16840.png,0
inme\var_kanama_clean\13675.png,1
inme\var_kanama_clean\14284.png,1
inme\yok_clean\11242.png,0
inme\var_kanama_clean\15727.png,1
inme\var_iskemi_clean\16113.png,1
inme\yok_clean\11343.png,0
inme\yok_clean\13861.png,0
inme\yok_clean\12008.png,0
inme\var_kanama_clean\16558.png,1
inme\yok_clean\12693.png,0
inme\yok_clean\13317.png,0
inme\yok_clean\15308.png,0
inme\yok_clean\13798.png,0
inme\yok_clean\17024.png,0
inme\yok_clean\13864.png,0
inme\yok_clean\13182.png,0
inme\yok_clean\12890.png,0
inme\var_kanama_clean\11226.png,1
inme\yok_clean\12633.png,0
inme\yok_clean\11684.png,0
inme\var_kanama_clean\15022.png,1
inme\yok_clean\10741.png,0
inme\yok_clean\14615.png,0
inme\var_iskemi_clean\14804.png,1
inme\yok_clean\14205.png,0
inme\var_kanama_clean\15844.png,1
inme\var_kanama_clean\15198.png,1
inme\var_iskemi_clean\14793.png,1
inme\yok_clean\16620.png,0
inme\yok_clean\15638.png,0
inme\yok_clean\13214.png,0
inme\var_iskemi_clean\16573.png,1
inme\var_iskemi_clean\12527.png,1
inme\var_kanama_clean\11812.png,1
inme\yok_clean\11304.png,0
inme\yok_clean\13227.png,0
inme\yok_clean\15989.png,0
inme\var_kanama_clean\13967.png,1
inme\var_kanama_clean\13079.png,1
inme\yok_clean\16300.png,0
inme\yok_clean\16865.png,0
inme\var_iskemi_clean\13193.png,1
inme\yok_clean\15504.png,0
inme\yok_clean\15829.png,0
inme\yok_clean\11762.png,0
inme\yok_clean\15070.png,0
inme\yok_clean\12626.png,0
inme\var_kanama_clean\13269.png,1
inme\yok_clean\11819.png,0
inme\var_kanama_clean\13439.png,1
inme\yok_clean\12015.png,0
inme\yok_clean\11191.png,0
inme\yok_clean\13621.png,0
inme\yok_clean\16739.png,0
inme\var_iskemi_clean\15412.png,1
inme\var_iskemi_clean\12363.png,1
inme\var_kanama_clean\11685.png,1
inme\yok_clean\12907.png,0
inme\yok_clean\12098.png,0
inme\var_iskemi_clean\12159.png,1
inme\yok_clean\13170.png,0
inme\yok_clean\15495.png,0
inme\var_kanama_clean\10605.png,1
inme\yok_clean\10462.png,0
inme\var_kanama_clean\15396.png,1
inme\var_iskemi_clean\11430.png,1
inme\yok_clean\11244.png,0
inme\yok_clean\10070.png,0
inme\yok_clean\14050.png,0
inme\yok_clean\12120.png,0
inme\yok_clean\15671.png,0
inme\yok_clean\15693.png,0
inme\yok_clean\16001.png,0
inme\yok_clean\11722.png,0
inme\yok_clean\12377.png,0
inme\yok_clean\10895.png,0
inme\yok_clean\13761.png,0
inme\yok_clean\14930.png,0
inme\var_kanama_clean\10893.png,1
inme\var_kanama_clean\12118.png,1
inme\yok_clean\12466.png,0
inme\yok_clean\14671.png,0
inme\var_iskemi_clean\14051.png,1
inme\yok_clean\15779.png,0
inme\yok_clean\16725.png,0
inme\yok_clean\13426.png,0
inme\yok_clean\16138.png,0
inme\yok_clean\12334.png,0
inme\var_iskemi_clean\15101.png,1
inme\yok_clean\13088.png,0
inme\yok_clean\16986.png,0
inme\yok_clean\12592.png,0
inme\yok_clean\13129.png,0
inme\var_iskemi_clean\16143.png,1
inme\yok_clean\12221.png,0
inme\yok_clean\16588.png,0
inme\yok_clean\11095.png,0
inme\var_iskemi_clean\10507.png,1
inme\var_kanama_clean\14289.png,1
inme\var_iskemi_clean\16345.png,1
inme\yok_clean\14909.png,0
inme\var_kanama_clean\14465.png,1
inme\var_kanama_clean\15313.png,1
inme\yok_clean\13583.png,0
inme\yok_clean\14128.png,0
inme\yok_clean\11582.png,0
inme\yok_clean\14213.png,0
inme\yok_clean\16046.png,0
inme\var_kanama_clean\10986.png,1
inme\yok_clean\14974.png,0
inme\yok_clean\11494.png,0
inme\var_kanama_clean\10330.png,1
inme\yok_clean\15579.png,0
inme\var_kanama_clean\15889.png,1
inme\var_iskemi_clean\12656.png,1
inme\yok_clean\10219.png,0
inme\yok_clean\15478.png,0
inme\yok_clean\12813.png,0
inme\var_iskemi_clean\14384.png,1
inme\yok_clean\10995.png,0
inme\yok_clean\14039.png,0
inme\yok_clean\14743.png,0
inme\yok_clean\15148.png,0
inme\yok_clean\16198.png,0
inme\yok_clean\14144.png,0
inme\var_iskemi_clean\11570.png,1
inme\yok_clean\12772.png,0
inme\var_iskemi_clean\11033.png,1
inme\var_kanama_clean\12361.png,1
inme\var_iskemi_clean\12859.png,1
inme\var_kanama_clean\13260.png,1
inme\var_iskemi_clean\16317.png,1
inme\var_iskemi_clean\15222.png,1
inme\var_kanama_clean\14252.png,1
inme\yok_clean\13369.png,0
inme\yok_clean\10361.png,0
inme\yok_clean\10042.png,0
inme\var_iskemi_clean\10095.png,1
inme\yok_clean\10117.png,0
inme\yok_clean\11409.png,0
inme\var_iskemi_clean\12587.png,1
inme\var_iskemi_clean\14391.png,1
inme\yok_clean\11024.png,0
inme\yok_clean\15606.png,0
inme\yok_clean\11844.png,0
inme\yok_clean\13334.png,0
inme\var_iskemi_clean\14610.png,1
inme\var_kanama_clean\15014.png,1
inme\var_iskemi_clean\10399.png,1
inme\var_iskemi_clean\10937.png,1
inme\yok_clean\14396.png,0
inme\yok_clean\13570.png,0
inme\yok_clean\13790.png,0
inme\var_iskemi_clean\13626.png,1
inme\yok_clean\13237.png,0
inme\yok_clean\14280.png,0
inme\var_iskemi_clean\10729.png,1
inme\yok_clean\11788.png,0
inme\yok_clean\15637.png,0
inme\yok_clean\11519.png,0
inme\yok_clean\12524.png,0
inme\yok_clean\13588.png,0
inme\var_iskemi_clean\12617.png,1
inme\yok_clean\10776.png,0
inme\var_kanama_clean\10435.png,1
inme\var_iskemi_clean\15089.png,1
inme\var_iskemi_clean\13548.png,1
inme\yok_clean\13547.png,0
inme\yok_clean\11194.png,0
inme\yok_clean\12771.png,0
inme\var_kanama_clean\11059.png,1
inme\yok_clean\10374.png,0
inme\var_iskemi_clean\14018.png,1
inme\yok_clean\14376.png,0
inme\var_iskemi_clean\13248.png,1
inme\var_kanama_clean\16146.png,1
inme\var_kanama_clean\15491.png,1
inme\yok_clean\14232.png,0
inme\yok_clean\15295.png,0
inme\yok_clean\12631.png,0
inme\yok_clean\16637.png,0
inme\yok_clean\10157.png,0
inme\yok_clean\10484.png,0
inme\yok_clean\14515.png,0
inme\var_kanama_clean\12021.png,1
inme\var_iskemi_clean\16349.png,1
inme\var_iskemi_clean\13283.png,1
inme\yok_clean\13916.png,0
inme\yok_clean\11073.png,0
inme\yok_clean\11174.png,0
inme\yok_clean\11121.png,0
inme\var_kanama_clean\11716.png,1
inme\yok_clean\12425.png,0
inme\var_kanama_clean\16418.png,1
inme\yok_clean\16711.png,0
inme\var_kanama_clean\10984.png,1
inme\var_kanama_clean\14864.png,1
inme\yok_clean\13080.png,0
inme\var_iskemi_clean\14758.png,1
inme\yok_clean\12995.png,0
inme\var_iskemi_clean\15703.png,1
inme\var_kanama_clean\10941.png,1
inme\yok_clean\15813.png,0
inme\yok_clean\15820.png,0
inme\yok_clean\10383.png,0
inme\yok_clean\11339.png,0
inme\yok_clean\15085.png,0
inme\yok_clean\14258.png,0
inme\var_iskemi_clean\13161.png,1
inme\yok_clean\14843.png,0
inme\yok_clean\15931.png,0
inme\yok_clean\13791.png,0
inme\yok_clean\12963.png,0
inme\yok_clean\14564.png,0
inme\yok_clean\12564.png,0
inme\yok_clean\10235.png,0
inme\var_iskemi_clean\11813.png,1
inme\yok_clean\16009.png,0
inme\yok_clean\13406.png,0
inme\yok_clean\12097.png,0
inme\yok_clean\12154.png,0
inme\yok_clean\14667.png,0
inme\yok_clean\16262.png,0
inme\var_kanama_clean\12854.png,1
inme\var_iskemi_clean\11642.png,1
inme\var_iskemi_clean\11134.png,1
inme\var_kanama_clean\14403.png,1
inme\yok_clean\13536.png,0
inme\var_iskemi_clean\15689.png,1
inme\var_iskemi_clean\11562.png,1
inme\var_iskemi_clean\16981.png,1
inme\yok_clean\14255.png,0
inme\yok_clean\12543.png,0
inme\yok_clean\15251.png,0
inme\yok_clean\10938.png,0
inme\yok_clean\16176.png,0
inme\var_iskemi_clean\15711.png,1
inme\var_kanama_clean\16452.png,1
inme\yok_clean\15489.png,0
inme\yok_clean\10834.png,0
inme\yok_clean\12917.png,0
inme\yok_clean\15715.png,0
inme\yok_clean\12151.png,0
inme\yok_clean\15358.png,0
inme\var_iskemi_clean\16043.png,1
inme\yok_clean\11270.png,0
inme\yok_clean\11265.png,0
inme\yok_clean\10013.png,0
inme\yok_clean\14450.png,0
inme\yok_clean\12337.png,0
inme\yok_clean\15594.png,0
inme\yok_clean\11313.png,0
inme\yok_clean\12615.png,0
inme\yok_clean\12427.png,0
inme\yok_clean\11709.png,0
inme\yok_clean\16413.png,0
inme\yok_clean\16949.png,0
inme\var_kanama_clean\13293.png,1
inme\var_kanama_clean\15376.png,1
inme\var_iskemi_clean\10519.png,1
inme\yok_clean\10451.png,0
inme\yok_clean\14152.png,0
inme\yok_clean\13900.png,0
inme\yok_clean\15220.png,0
inme\var_kanama_clean\16672.png,1
inme\var_kanama_clean\10542.png,1
inme\yok_clean\10183.png,0
inme\yok_clean\11228.png,0
inme\yok_clean\16932.png,0
inme\yok_clean\11361.png,0
inme\yok_clean\12638.png,0
inme\yok_clean\12430.png,0
inme\yok_clean\15255.png,0
inme\var_iskemi_clean\12985.png,1
inme\yok_clean\15746.png,0
inme\yok_clean\11022.png,0
inme\yok_clean\17004.png,0
inme\yok_clean\15641.png,0
inme\var_kanama_clean\14926.png,1
inme\yok_clean\11013.png,0
inme\var_kanama_clean\13932.png,1
inme\var_iskemi_clean\14324.png,1
inme\yok_clean\15123.png,0
inme\yok_clean\11777.png,0
inme\var_iskemi_clean\16752.png,1
inme\var_kanama_clean\14536.png,1
inme\var_iskemi_clean\11574.png,1
inme\yok_clean\14139.png,0
inme\yok_clean\14728.png,0
inme\yok_clean\16654.png,0
inme\yok_clean\15425.png,0
inme\yok_clean\14582.png,0
inme\var_kanama_clean\11262.png,1
inme\yok_clean\10030.png,0
inme\yok_clean\15549.png,0
inme\yok_clean\13658.png,0
inme\yok_clean\11670.png,0
inme\yok_clean\16852.png,0
inme\yok_clean\11141.png,0
inme\yok_clean\10523.png,0
inme\yok_clean\10373.png,0
inme\var_iskemi_clean\16151.png,1
inme\var_kanama_clean\11117.png,1
inme\yok_clean\15774.png,0
inme\yok_clean\11681.png,0
inme\yok_clean\15978.png,0
inme\yok_clean\15048.png,0
inme\yok_clean\13102.png,0
inme\var_iskemi_clean\15115.png,1
inme\yok_clean\14277.png,0
inme\yok_clean\13414.png,0
inme\var_kanama_clean\14889.png,1
inme\var_iskemi_clean\15640.png,1
inme\yok_clean\11740.png,0
inme\yok_clean\10171.png,0
inme\yok_clean\13168.png,0
inme\yok_clean\15452.png,0
inme\yok_clean\14172.png,0
inme\var_iskemi_clean\14855.png,1
inme\yok_clean\13430.png,0
inme\yok_clean\11692.png,0
inme\yok_clean\16574.png,0
inme\var_iskemi_clean\10108.png,1
inme\yok_clean\13117.png,0
inme\var_iskemi_clean\15348.png,1
inme\yok_clean\12866.png,0
inme\yok_clean\16576.png,0
inme\var_iskemi_clean\14509.png,1
inme\yok_clean\14003.png,0
inme\yok_clean\11591.png,0
inme\yok_clean\15971.png,0
inme\var_kanama_clean\13186.png,1
inme\yok_clean\12398.png,0
inme\var_iskemi_clean\13952.png,1
inme\yok_clean\12868.png,0
inme\var_iskemi_clean\10943.png,1
inme\yok_clean\16559.png,0
inme\yok_clean\12718.png,0
inme\yok_clean\12663.png,0
inme\var_iskemi_clean\11956.png,1
inme\yok_clean\16282.png,0
inme\yok_clean\10874.png,0
inme\yok_clean\12790.png,0
inme\var_iskemi_clean\14689.png,1
inme\yok_clean\15036.png,0
inme\var_kanama_clean\13132.png,1
inme\yok_clean\15441.png,0
inme\yok_clean\16675.png,0
inme\yok_clean\15233.png,0
inme\var_kanama_clean\12033.png,1
inme\yok_clean\16963.png,0
inme\var_iskemi_clean\13525.png,1
inme\var_iskemi_clean\15507.png,1
inme\yok_clean\16763.png,0
inme\yok_clean\16183.png,0
inme\yok_clean\14373.png,0
inme\yok_clean\14142.png,0
inme\yok_clean\10636.png,0
inme\yok_clean\13933.png,0
inme\var_kanama_clean\14537.png,1
inme\yok_clean\16429.png,0
inme\yok_clean\14423.png,0
inme\yok_clean\14567.png,0
inme\var_iskemi_clean\10600.png,1
inme\var_kanama_clean\11321.png,1
inme\yok_clean\11874.png,0
inme\var_kanama_clean\14340.png,1
inme\yok_clean\11983.png,0
inme\yok_clean\15196.png,0
inme\yok_clean\14923.png,0
inme\var_kanama_clean\10258.png,1
inme\yok_clean\12812.png,0
inme\yok_clean\15480.png,0
inme\var_kanama_clean\15542.png,1
inme\yok_clean\10571.png,0
inme\yok_clean\11589.png,0
inme\yok_clean\15691.png,0
inme\var_kanama_clean\10362.png,1
inme\var_kanama_clean\15586.png,1
inme\yok_clean\13617.png,0
inme\var_iskemi_clean\13313.png,1
inme\var_kanama_clean\15272.png,1
inme\yok_clean\10892.png,0
inme\var_iskemi_clean\11195.png,1
inme\var_kanama_clean\11090.png,1
inme\yok_clean\14809.png,0
inme\yok_clean\12407.png,0
inme\var_iskemi_clean\16096.png,1
inme\yok_clean\10775.png,0
inme\yok_clean\10825.png,0
inme\var_iskemi_clean\11829.png,1
inme\yok_clean\16726.png,0
inme\yok_clean\15904.png,0
inme\yok_clean\12925.png,0
inme\var_iskemi_clean\14492.png,1
inme\yok_clean\15773.png,0
inme\var_iskemi_clean\12741.png,1
inme\yok_clean\12277.png,0
inme\var_kanama_clean\16714.png,1
inme\yok_clean\13563.png,0
inme\var_iskemi_clean\13151.png,1
inme\yok_clean\13221.png,0
inme\yok_clean\11914.png,0
inme\yok_clean\16506.png,0
inme\yok_clean\10597.png,0
inme\yok_clean\13631.png,0
inme\yok_clean\11459.png,0
inme\var_iskemi_clean\12187.png,1
inme\yok_clean\10915.png,0
inme\yok_clean\13034.png,0
inme\yok_clean\16228.png,0
inme\var_iskemi_clean\14245.png,1
inme\yok_clean\16208.png,0
inme\yok_clean\14870.png,0
inme\var_kanama_clean\16746.png,1
inme\yok_clean\11620.png,0
inme\yok_clean\11752.png,0
inme\yok_clean\16998.png,0
inme\yok_clean\11050.png,0
inme\yok_clean\10339.png,0
inme\yok_clean\14760.png,0
inme\yok_clean\10148.png,0
inme\var_iskemi_clean\14309.png,1
inme\var_iskemi_clean\15799.png,1
inme\var_kanama_clean\15952.png,1
inme\yok_clean\10979.png,0
inme\yok_clean\11102.png,0
inme\var_iskemi_clean\12965.png,1
inme\yok_clean\16553.png,0
inme\yok_clean\11005.png,0
inme\yok_clean\15798.png,0
inme\yok_clean\15296.png,0
inme\yok_clean\12311.png,0
inme\yok_clean\10543.png,0
inme\var_kanama_clean\10745.png,1
inme\var_iskemi_clean\13060.png,1
inme\var_kanama_clean\13695.png,1
inme\yok_clean\16108.png,0
inme\var_iskemi_clean\11271.png,1
inme\yok_clean\10212.png,0
inme\yok_clean\13061.png,0
inme\yok_clean\10035.png,0
inme\yok_clean\16735.png,0
inme\var_iskemi_clean\13553.png,1
inme\yok_clean\13720.png,0
inme\yok_clean\16197.png,0
inme\yok_clean\14927.png,0
inme\yok_clean\17013.png,0
inme\yok_clean\15345.png,0
inme\var_kanama_clean\15597.png,1
inme\yok_clean\12920.png,0
inme\var_kanama_clean\10481.png,1
inme\var_kanama_clean\15976.png,1
inme\yok_clean\11164.png,0
inme\var_kanama_clean\11412.png,1
inme\yok_clean\14043.png,0
inme\yok_clean\15297.png,0
inme\var_iskemi_clean\12769.png,1
inme\yok_clean\11950.png,0
inme\yok_clean\16382.png,0
inme\yok_clean\15896.png,0
inme\yok_clean\11602.png,0
inme\var_kanama_clean\11561.png,1
inme\yok_clean\10472.png,0
inme\yok_clean\16265.png,0
inme\yok_clean\16833.png,0
inme\yok_clean\11886.png,0
inme\var_iskemi_clean\10567.png,1
inme\var_kanama_clean\13817.png,1
inme\yok_clean\12549.png,0
inme\yok_clean\15453.png,0
inme\var_kanama_clean\12165.png,1
inme\var_iskemi_clean\11639.png,1
inme\yok_clean\15792.png,0
inme\var_kanama_clean\15583.png,1
inme\yok_clean\11910.png,0
inme\yok_clean\14591.png,0
inme\yok_clean\14601.png,0
inme\var_kanama_clean\11296.png,1
inme\yok_clean\13841.png,0
inme\yok_clean\11724.png,0
inme\var_iskemi_clean\14427.png,1
inme\yok_clean\15277.png,0
inme\var_kanama_clean\11797.png,1
inme\yok_clean\11035.png,0
inme\yok_clean\16207.png,0
inme\yok_clean\11537.png,0
inme\var_kanama_clean\16080.png,1
inme\yok_clean\14024.png,0
inme\yok_clean\10559.png,0
inme\yok_clean\15643.png,0
inme\yok_clean\15947.png,0
inme\yok_clean\12157.png,0
inme\var_iskemi_clean\12850.png,1
inme\var_kanama_clean\16494.png,1
inme\var_kanama_clean\14973.png,1
inme\yok_clean\12130.png,0
inme\var_kanama_clean\16474.png,1
inme\yok_clean\16383.png,0
inme\yok_clean\12101.png,0
inme\yok_clean\14653.png,0
inme\var_kanama_clean\15391.png,1
inme\yok_clean\14844.png,0
inme\yok_clean\10668.png,0
inme\yok_clean\14544.png,0
inme\yok_clean\15131.png,0
inme\yok_clean\11126.png,0
inme\yok_clean\14542.png,0
inme\var_kanama_clean\14907.png,1
inme\yok_clean\11213.png,0
inme\yok_clean\10656.png,0
inme\var_kanama_clean\15803.png,1
inme\yok_clean\12808.png,0
inme\yok_clean\12879.png,0
inme\yok_clean\14184.png,0
inme\yok_clean\11753.png,0
inme\var_kanama_clean\14642.png,1
inme\var_kanama_clean\13712.png,1
inme\var_iskemi_clean\16999.png,1
inme\yok_clean\10505.png,0
inme\yok_clean\16897.png,0
inme\yok_clean\15044.png,0
inme\var_iskemi_clean\10960.png,1
inme\yok_clean\14380.png,0
inme\yok_clean\16605.png,0
inme\yok_clean\10999.png,0
inme\yok_clean\15173.png,0
inme\yok_clean\12359.png,0
inme\yok_clean\15238.png,0
inme\var_iskemi_clean\14350.png,1
inme\yok_clean\15165.png,0
inme\yok_clean\15369.png,0
inme\yok_clean\13306.png,0
inme\yok_clean\10044.png,0
inme\yok_clean\13462.png,0
inme\yok_clean\13920.png,0
inme\yok_clean\14821.png,0
inme\var_kanama_clean\12341.png,1
inme\yok_clean\15623.png,0
inme\yok_clean\16221.png,0
inme\var_iskemi_clean\14949.png,1
inme\var_iskemi_clean\11355.png,1
inme\var_kanama_clean\16790.png,1
inme\yok_clean\15415.png,0
inme\yok_clean\13118.png,0
inme\var_iskemi_clean\11974.png,1
inme\yok_clean\11921.png,0
inme\yok_clean\11912.png,0
inme\yok_clean\11064.png,0
inme\yok_clean\12369.png,0
inme\yok_clean\11463.png,0
inme\yok_clean\10390.png,0
inme\yok_clean\10232.png,0
inme\yok_clean\15749.png,0
inme\yok_clean\10885.png,0
inme\yok_clean\10424.png,0
inme\var_kanama_clean\14790.png,1
inme\yok_clean\13362.png,0
inme\var_iskemi_clean\12556.png,1
inme\var_kanama_clean\10887.png,1
inme\var_kanama_clean\13095.png,1
inme\yok_clean\14302.png,0
inme\yok_clean\15552.png,0
inme\yok_clean\16822.png,0
inme\var_iskemi_clean\16748.png,1
inme\yok_clean\10225.png,0
inme\yok_clean\13937.png,0
inme\var_iskemi_clean\16931.png,1
inme\var_iskemi_clean\15943.png,1
inme\yok_clean\16598.png,0
inme\yok_clean\14929.png,0
inme\yok_clean\14130.png,0
inme\yok_clean\16571.png,0
inme\yok_clean\14569.png,0
inme\var_iskemi_clean\12217.png,1
inme\yok_clean\12170.png,0
inme\var_kanama_clean\14073.png,1
inme\yok_clean\14625.png,0
inme\var_kanama_clean\12609.png,1
inme\var_iskemi_clean\15189.png,1
inme\yok_clean\16128.png,0
inme\yok_clean\16894.png,0
inme\yok_clean\11665.png,0
inme\yok_clean\15956.png,0
inme\yok_clean\16995.png,0
