filepath,label
inme\yok\10545.png,0
inme\var_iskemi/PNG\12630.png,1
inme\yok\15197.png,0
inme\var_iskemi/PNG\11734.png,1
inme\yok\12782.png,0
inme\yok\14817.png,0
inme\yok\13426.png,0
inme\yok\15009.png,0
inme\yok\15067.png,0
inme\yok\10723.png,0
inme\yok\11058.png,0
inme\var_iskemi/PNG\14752.png,1
inme\yok\16111.png,0
inme\var_kanama/PNG\12609.png,1
inme\yok\12868.png,0
inme\var_kanama/PNG\12624.png,1
inme\var_iskemi/PNG\13233.png,1
inme\var_kanama/PNG\13642.png,1
inme\yok\10176.png,0
inme\yok\10424.png,0
inme\var_iskemi/PNG\13433.png,1
inme\yok\12832.png,0
inme\yok\12143.png,0
inme\var_kanama/PNG\10872.png,1
inme\yok\10462.png,0
inme\var_kanama/PNG\11386.png,1
inme\yok\15359.png,0
inme\var_iskemi/PNG\13486.png,1
inme\yok\16670.png,0
inme\var_iskemi/PNG\11570.png,1
inme\yok\11481.png,0
inme\yok\11365.png,0
inme\yok\16067.png,0
inme\var_iskemi/PNG\16737.png,1
inme\yok\14378.png,0
inme\yok\16521.png,0
inme\yok\11509.png,0
inme\var_kanama/PNG\11866.png,1
inme\yok\11792.png,0
inme\var_iskemi/PNG\13517.png,1
inme\yok\14933.png,0
inme\yok\11954.png,0
inme\yok\12331.png,0
inme\yok\15810.png,0
inme\yok\14168.png,0
inme\var_kanama/PNG\13897.png,1
inme\yok\14415.png,0
inme\var_kanama/PNG\12284.png,1
inme\var_kanama/PNG\13540.png,1
inme\yok\11173.png,0
inme\yok\16163.png,0
inme\var_kanama/PNG\11698.png,1
inme\yok\11102.png,0
inme\yok\12685.png,0
inme\yok\15223.png,0
inme\var_iskemi/PNG\12769.png,1
inme\yok\16533.png,0
inme\var_iskemi/PNG\16280.png,1
inme\yok\16787.png,0
inme\yok\14648.png,0
inme\yok\10632.png,0
inme\var_iskemi/PNG\13174.png,1
inme\yok\11958.png,0
inme\yok\13306.png,0
inme\var_kanama/PNG\12152.png,1
inme\yok\12790.png,0
inme\yok\16008.png,0
inme\yok\15466.png,0
inme\yok\11885.png,0
inme\var_iskemi/PNG\12405.png,1
inme\yok\15419.png,0
inme\yok\15453.png,0
inme\yok\14779.png,0
inme\var_iskemi/PNG\13535.png,1
inme\var_kanama/PNG\14082.png,1
inme\yok\14858.png,0
inme\var_kanama/PNG\10378.png,1
inme\var_iskemi/PNG\13193.png,1
inme\yok\13389.png,0
inme\var_iskemi/PNG\12428.png,1
inme\yok\12335.png,0
inme\yok\10935.png,0
inme\yok\10381.png,0
inme\yok\16308.png,0
inme\yok\12569.png,0
inme\var_kanama/PNG\13560.png,1
inme\var_iskemi/PNG\15626.png,1
inme\var_kanama/PNG\11715.png,1
inme\yok\14160.png,0
inme\yok\16946.png,0
inme\yok\11967.png,0
inme\yok\14682.png,0
inme\yok\14818.png,0
inme\yok\12082.png,0
inme\yok\15110.png,0
inme\var_iskemi/PNG\10956.png,1
inme\yok\14832.png,0
inme\yok\11788.png,0
inme\yok\16376.png,0
inme\var_kanama/PNG\11941.png,1
inme\yok\16767.png,0
inme\yok\12053.png,0
inme\yok\11389.png,0
inme\yok\14944.png,0
inme\yok\13693.png,0
inme\var_iskemi/PNG\16876.png,1
inme\yok\16835.png,0
inme\yok\14253.png,0
inme\var_kanama/PNG\12518.png,1
inme\yok\15763.png,0
inme\yok\13470.png,0
inme\var_iskemi/PNG\14964.png,1
inme\yok\14709.png,0
inme\var_iskemi/PNG\10518.png,1
inme\var_kanama/PNG\16940.png,1
inme\yok\16303.png,0
inme\yok\16720.png,0
inme\var_iskemi/PNG\16117.png,1
inme\var_iskemi/PNG\11209.png,1
inme\yok\16282.png,0
inme\yok\14278.png,0
inme\var_iskemi/PNG\13261.png,1
inme\var_iskemi/PNG\10477.png,1
inme\yok\15724.png,0
inme\var_kanama/PNG\12243.png,1
inme\var_kanama/PNG\15575.png,1
inme\yok\14808.png,0
inme\yok\15849.png,0
inme\yok\16503.png,0
inme\var_iskemi/PNG\15018.png,1
inme\yok\13482.png,0
inme\yok\15691.png,0
inme\yok\10349.png,0
inme\yok\16070.png,0
inme\yok\11557.png,0
inme\yok\15130.png,0
inme\yok\14775.png,0
inme\yok\13463.png,0
inme\var_iskemi/PNG\16530.png,1
inme\yok\11461.png,0
inme\yok\14911.png,0
inme\var_iskemi/PNG\16096.png,1
inme\yok\16103.png,0
inme\yok\12073.png,0
inme\var_iskemi/PNG\12380.png,1
inme\yok\11762.png,0
inme\var_kanama/PNG\15569.png,1
inme\var_iskemi/PNG\15045.png,1
inme\var_kanama/PNG\12016.png,1
inme\yok\15742.png,0
inme\yok\14490.png,0
inme\yok\11107.png,0
inme\var_kanama/PNG\14924.png,1
inme\var_kanama/PNG\13167.png,1
inme\var_iskemi/PNG\14483.png,1
inme\yok\16506.png,0
inme\yok\14189.png,0
inme\yok\15930.png,0
inme\var_iskemi/PNG\10499.png,1
inme\var_kanama/PNG\16391.png,1
inme\yok\16690.png,0
inme\yok\11473.png,0
inme\var_kanama/PNG\14589.png,1
inme\yok\10013.png,0
inme\yok\12430.png,0
inme\yok\16932.png,0
inme\yok\15097.png,0
inme\yok\14113.png,0
inme\var_iskemi/PNG\11250.png,1
inme\yok\16638.png,0
inme\var_kanama/PNG\16218.png,1
inme\yok\10264.png,0
inme\yok\16210.png,0
inme\yok\16900.png,0
inme\yok\16492.png,0
inme\var_kanama/PNG\10662.png,1
inme\var_iskemi/PNG\12420.png,1
inme\var_kanama/PNG\10850.png,1
inme\yok\16529.png,0
inme\yok\12448.png,0
inme\var_kanama/PNG\13371.png,1
inme\yok\10735.png,0
inme\yok\16671.png,0
inme\var_iskemi/PNG\15031.png,1
inme\yok\10226.png,0
inme\var_iskemi/PNG\10298.png,1
inme\var_kanama/PNG\10539.png,1
inme\yok\10484.png,0
inme\yok\10213.png,0
inme\yok\10293.png,0
inme\yok\11679.png,0
inme\yok\16828.png,0
inme\yok\16200.png,0
inme\yok\11944.png,0
inme\yok\14713.png,0
inme\yok\12855.png,0
inme\yok\13791.png,0
inme\yok\13575.png,0
inme\yok\16571.png,0
inme\var_kanama/PNG\11301.png,1
inme\var_iskemi/PNG\12804.png,1
inme\yok\10535.png,0
inme\yok\11935.png,0
inme\var_kanama/PNG\11990.png,1
inme\yok\15755.png,0
inme\yok\16812.png,0
inme\yok\14861.png,0
inme\yok\11684.png,0
inme\yok\16172.png,0
inme\var_kanama/PNG\14536.png,1
inme\yok\10799.png,0
inme\yok\13164.png,0
inme\yok\13784.png,0
inme\yok\13619.png,0
inme\var_iskemi/PNG\15337.png,1
inme\yok\15680.png,0
inme\yok\15522.png,0
inme\yok\14716.png,0
inme\var_iskemi/PNG\10187.png,1
inme\var_iskemi/PNG\12714.png,1
inme\var_iskemi/PNG\11597.png,1
inme\yok\13834.png,0
inme\var_kanama/PNG\14647.png,1
inme\var_iskemi/PNG\14137.png,1
inme\yok\16141.png,0
inme\yok\14396.png,0
inme\yok\11699.png,0
inme\yok\10498.png,0
inme\yok\11937.png,0
inme\var_kanama/PNG\11592.png,1
inme\yok\12724.png,0
inme\yok\16302.png,0
inme\var_kanama/PNG\11674.png,1
inme\yok\12747.png,0
inme\var_kanama/PNG\14069.png,1
inme\var_iskemi/PNG\12102.png,1
inme\yok\13495.png,0
inme\yok\11752.png,0
inme\yok\16417.png,0
inme\var_kanama/PNG\14916.png,1
inme\yok\15128.png,0
inme\yok\12253.png,0
inme\yok\14749.png,0
inme\yok\11627.png,0
inme\yok\10034.png,0
inme\yok\11201.png,0
inme\var_iskemi/PNG\11640.png,1
inme\yok\16136.png,0
inme\var_kanama/PNG\15506.png,1
inme\var_iskemi/PNG\15089.png,1
inme\var_kanama/PNG\16867.png,1
inme\var_kanama/PNG\13869.png,1
inme\var_kanama/PNG\13714.png,1
inme\var_kanama/PNG\15710.png,1
inme\var_iskemi/PNG\12119.png,1
inme\yok\14939.png,0
inme\yok\14909.png,0
inme\yok\11725.png,0
inme\var_iskemi/PNG\13367.png,1
inme\yok\13366.png,0
inme\yok\14425.png,0
inme\var_iskemi/PNG\14533.png,1
inme\var_kanama/PNG\12583.png,1
inme\yok\10573.png,0
inme\yok\11740.png,0
inme\yok\16311.png,0
inme\yok\14879.png,0
inme\var_iskemi/PNG\15236.png,1
inme\var_kanama/PNG\10889.png,1
inme\var_kanama/PNG\14458.png,1
inme\var_kanama/PNG\13572.png,1
inme\yok\14723.png,0
inme\yok\10523.png,0
inme\yok\12535.png,0
inme\var_iskemi/PNG\11723.png,1
inme\yok\12316.png,0
inme\yok\14821.png,0
inme\var_iskemi/PNG\11617.png,1
inme\yok\12671.png,0
inme\yok\10375.png,0
inme\yok\12117.png,0
inme\yok\14106.png,0
inme\yok\11590.png,0
inme\var_kanama/PNG\16094.png,1
inme\yok\15069.png,0
inme\var_kanama/PNG\11942.png,1
inme\var_kanama/PNG\14124.png,1
inme\var_iskemi/PNG\13045.png,1
inme\yok\13660.png,0
inme\yok\13864.png,0
inme\yok\11196.png,0
inme\var_iskemi/PNG\11156.png,1
inme\yok\13704.png,0
inme\var_kanama/PNG\15019.png,1
inme\yok\14199.png,0
inme\var_kanama/PNG\10350.png,1
inme\var_iskemi/PNG\13553.png,1
inme\var_kanama/PNG\10955.png,1
inme\yok\10557.png,0
inme\yok\15818.png,0
inme\yok\10035.png,0
inme\yok\13648.png,0
inme\yok\14981.png,0
inme\yok\16801.png,0
inme\yok\15904.png,0
inme\var_kanama/PNG\14403.png,1
inme\var_kanama/PNG\14940.png,1
inme\var_kanama/PNG\12792.png,1
inme\yok\10429.png,0
inme\yok\13134.png,0
inme\yok\14946.png,0
inme\yok\13102.png,0
inme\var_iskemi/PNG\14630.png,1
inme\yok\16001.png,0
inme\var_kanama/PNG\16239.png,1
inme\yok\13103.png,0
inme\var_kanama/PNG\13358.png,1
inme\var_kanama/PNG\16744.png,1
inme\yok\14283.png,0
inme\var_iskemi/PNG\10466.png,1
inme\yok\11401.png,0
inme\var_iskemi/PNG\14812.png,1
inme\var_kanama/PNG\13943.png,1
inme\yok\16651.png,0
inme\yok\10738.png,0
inme\yok\10993.png,0
inme\yok\16388.png,0
inme\yok\11132.png,0
inme\yok\15435.png,0
inme\var_iskemi/PNG\13161.png,1
inme\yok\14952.png,0
inme\yok\12766.png,0
inme\yok\15264.png,0
inme\yok\12416.png,0
inme\yok\16570.png,0
inme\yok\14121.png,0
inme\yok\12077.png,0
inme\var_iskemi/PNG\13248.png,1
inme\yok\13481.png,0
inme\yok\12622.png,0
inme\yok\11934.png,0
inme\yok\15280.png,0
inme\yok\16907.png,0
inme\yok\16997.png,0
inme\var_kanama/PNG\10877.png,1
inme\var_iskemi/PNG\14815.png,1
inme\var_iskemi/PNG\13344.png,1
inme\var_iskemi/PNG\14920.png,1
inme\yok\16456.png,0
inme\var_iskemi/PNG\14773.png,1
inme\var_kanama/PNG\10362.png,1
inme\var_kanama/PNG\15448.png,1
inme\yok\15786.png,0
inme\yok\13121.png,0
inme\yok\10779.png,0
inme\yok\14553.png,0
inme\yok\11140.png,0
inme\var_iskemi/PNG\13297.png,1
inme\var_iskemi/PNG\16536.png,1
inme\yok\15324.png,0
inme\yok\12546.png,0
inme\yok\11454.png,0
inme\yok\16235.png,0
inme\yok\15214.png,0
inme\yok\14450.png,0
inme\var_kanama/PNG\12278.png,1
inme\yok\10083.png,0
inme\yok\13191.png,0
inme\yok\11880.png,0
inme\yok\14387.png,0
inme\yok\13026.png,0
inme\yok\14045.png,0
inme\yok\17031.png,0
inme\yok\15751.png,0
inme\yok\10337.png,0
inme\yok\10292.png,0
inme\yok\10514.png,0
inme\yok\15366.png,0
inme\var_iskemi/PNG\15711.png,1
inme\var_iskemi/PNG\14949.png,1
inme\var_kanama/PNG\10481.png,1
inme\yok\10183.png,0
inme\yok\12586.png,0
inme\yok\15035.png,0
inme\yok\13022.png,0
inme\var_kanama/PNG\16494.png,1
inme\var_kanama/PNG\16811.png,1
inme\yok\14678.png,0
inme\yok\10044.png,0
inme\yok\16267.png,0
inme\yok\15866.png,0
inme\yok\14222.png,0
inme\yok\13842.png,0
inme\yok\15002.png,0
inme\var_kanama/PNG\13196.png,1
inme\yok\15093.png,0
inme\yok\14988.png,0
inme\yok\13419.png,0
inme\yok\16738.png,0
inme\var_iskemi/PNG\13894.png,1
inme\yok\11787.png,0
inme\var_iskemi/PNG\12811.png,1
inme\var_iskemi/PNG\16449.png,1
inme\yok\13985.png,0
inme\yok\12515.png,0
inme\var_iskemi/PNG\12500.png,1
inme\var_kanama/PNG\15004.png,1
inme\var_iskemi/PNG\11490.png,1
inme\yok\12285.png,0
inme\yok\13468.png,0
inme\yok\12394.png,0
inme\yok\12139.png,0
inme\yok\10022.png,0
inme\var_iskemi/PNG\16586.png,1
inme\yok\16339.png,0
inme\yok\10244.png,0
inme\yok\15340.png,0
inme\yok\13807.png,0
inme\yok\16733.png,0
inme\yok\15047.png,0
inme\yok\14582.png,0
inme\yok\11138.png,0
inme\var_iskemi/PNG\11331.png,1
inme\var_iskemi/PNG\12888.png,1
inme\yok\11012.png,0
inme\yok\12069.png,0
inme\yok\11908.png,0
inme\yok\14849.png,0
inme\yok\15212.png,0
inme\var_kanama/PNG\15014.png,1
inme\yok\15150.png,0
inme\yok\10904.png,0
inme\var_kanama/PNG\15241.png,1
inme\var_iskemi/PNG\10181.png,1
inme\yok\11241.png,0
inme\yok\10480.png,0
inme\yok\10529.png,0
inme\yok\16250.png,0
inme\yok\12190.png,0
inme\var_kanama/PNG\13885.png,1
inme\yok\10401.png,0
inme\yok\14690.png,0
inme\yok\16845.png,0
inme\var_iskemi/PNG\11340.png,1
inme\yok\15269.png,0
inme\var_kanama/PNG\15597.png,1
inme\yok\13732.png,0
inme\yok\11531.png,0
inme\var_kanama/PNG\15783.png,1
inme\yok\16688.png,0
inme\yok\13487.png,0
inme\yok\15377.png,0
inme\var_kanama/PNG\16916.png,1
inme\yok\14093.png,0
inme\var_kanama/PNG\13764.png,1
inme\yok\12981.png,0
inme\var_iskemi/PNG\11554.png,1
inme\yok\13576.png,0
inme\yok\11852.png,0
inme\yok\14261.png,0
inme\var_iskemi/PNG\10568.png,1
inme\yok\12406.png,0
inme\yok\13688.png,0
inme\yok\13302.png,0
inme\var_iskemi/PNG\11504.png,1
inme\yok\15817.png,0
inme\var_kanama/PNG\12179.png,1
inme\yok\15916.png,0
inme\yok\14917.png,0
inme\yok\15451.png,0
inme\var_iskemi/PNG\15850.png,1
inme\yok\14993.png,0
inme\var_kanama/PNG\15465.png,1
inme\var_iskemi/PNG\11375.png,1
inme\yok\13779.png,0
inme\yok\16014.png,0
inme\yok\13617.png,0
inme\yok\16315.png,0
inme\yok\15151.png,0
inme\yok\15600.png,0
inme\var_kanama/PNG\11279.png,1
inme\yok\12543.png,0
inme\yok\11867.png,0
inme\yok\14011.png,0
inme\var_iskemi/PNG\16182.png,1
inme\var_kanama/PNG\13067.png,1
inme\yok\13131.png,0
inme\var_iskemi/PNG\11485.png,1
inme\yok\14552.png,0
inme\yok\13522.png,0
inme\yok\10709.png,0
inme\var_iskemi/PNG\12242.png,1
inme\yok\11445.png,0
inme\yok\12786.png,0
inme\var_kanama/PNG\10887.png,1
inme\yok\14764.png,0
inme\yok\11893.png,0
inme\yok\16010.png,0
inme\var_kanama/PNG\12658.png,1
inme\var_kanama/PNG\10501.png,1
inme\yok\10469.png,0
inme\var_iskemi/PNG\10777.png,1
inme\var_kanama/PNG\13983.png,1
inme\yok\13501.png,0
inme\var_kanama/PNG\16644.png,1
inme\var_kanama/PNG\15006.png,1
inme\yok\10991.png,0
inme\yok\13594.png,0
inme\var_iskemi/PNG\11101.png,1
inme\yok\13709.png,0
inme\yok\11559.png,0
inme\var_iskemi/PNG\12688.png,1
inme\yok\10527.png,0
inme\yok\15924.png,0
inme\yok\16036.png,0
inme\var_iskemi/PNG\13738.png,1
inme\yok\12974.png,0
inme\var_kanama/PNG\14329.png,1
inme\yok\12114.png,0
inme\var_kanama/PNG\14537.png,1
inme\yok\12991.png,0
inme\var_kanama/PNG\16889.png,1
inme\yok\11083.png,0
inme\yok\14008.png,0
inme\yok\12185.png,0
inme\yok\13726.png,0
inme\yok\14501.png,0
inme\yok\14434.png,0
inme\var_iskemi/PNG\16730.png,1
inme\yok\13360.png,0
inme\yok\11676.png,0
inme\yok\11717.png,0
inme\var_iskemi/PNG\16349.png,1
inme\yok\12228.png,0
inme\yok\15244.png,0
inme\var_kanama/PNG\12874.png,1
inme\yok\13040.png,0
inme\yok\11744.png,0
inme\yok\10414.png,0
inme\yok\16260.png,0
inme\yok\13750.png,0
inme\yok\13974.png,0
inme\yok\10623.png,0
inme\var_iskemi/PNG\16121.png,1
inme\var_kanama/PNG\15509.png,1
inme\var_iskemi/PNG\14645.png,1
inme\yok\16035.png,0
inme\yok\11658.png,0
inme\var_kanama/PNG\15013.png,1
inme\yok\16416.png,0
inme\yok\16779.png,0
inme\yok\10165.png,0
inme\yok\16734.png,0
inme\yok\14046.png,0
inme\yok\16216.png,0
inme\var_kanama/PNG\12037.png,1
inme\var_iskemi/PNG\10242.png,1
inme\var_kanama/PNG\12943.png,1
inme\yok\13020.png,0
inme\var_iskemi/PNG\16335.png,1
inme\yok\16717.png,0
inme\yok\12610.png,0
inme\yok\13317.png,0
inme\yok\11446.png,0
inme\var_iskemi/PNG\14047.png,1
inme\yok\15454.png,0
inme\yok\14534.png,0
inme\yok\11656.png,0
inme\yok\13038.png,0
inme\yok\15845.png,0
inme\var_iskemi/PNG\13091.png,1
inme\yok\13715.png,0
inme\var_kanama/PNG\12414.png,1
inme\var_iskemi/PNG\15906.png,1
inme\yok\14890.png,0
inme\var_iskemi/PNG\15189.png,1
inme\yok\13507.png,0
inme\yok\15662.png,0
inme\var_iskemi/PNG\16160.png,1
inme\yok\13611.png,0
inme\yok\12450.png,0
inme\yok\13744.png,0
inme\yok\12910.png,0
inme\var_iskemi/PNG\15267.png,1
inme\yok\16775.png,0
inme\yok\12613.png,0
inme\yok\16498.png,0
inme\yok\11496.png,0
inme\var_kanama/PNG\13815.png,1
inme\var_iskemi/PNG\14766.png,1
inme\yok\15745.png,0
inme\yok\14643.png,0
inme\var_iskemi/PNG\12985.png,1
inme\var_iskemi/PNG\10729.png,1
inme\yok\15469.png,0
inme\var_iskemi/PNG\15450.png,1
inme\yok\12864.png,0
inme\yok\13831.png,0
inme\yok\11092.png,0
inme\var_kanama/PNG\10305.png,1
inme\yok\16508.png,0
inme\yok\10862.png,0
inme\var_kanama/PNG\14225.png,1
inme\yok\10051.png,0
inme\var_iskemi/PNG\12659.png,1
inme\yok\11540.png,0
inme\yok\11438.png,0
inme\yok\12212.png,0
inme\var_kanama/PNG\12297.png,1
inme\yok\10473.png,0
inme\yok\14882.png,0
inme\yok\12432.png,0
inme\yok\12211.png,0
inme\yok\11854.png,0
inme\var_iskemi/PNG\10797.png,1
inme\var_iskemi/PNG\14914.png,1
inme\var_iskemi/PNG\12859.png,1
inme\yok\11487.png,0
inme\var_kanama/PNG\11181.png,1
inme\yok\16249.png,0
inme\yok\12682.png,0
inme\yok\12194.png,0
inme\var_iskemi/PNG\14055.png,1
inme\yok\12640.png,0
inme\yok\14226.png,0
inme\yok\13656.png,0
inme\yok\16959.png,0
inme\yok\14649.png,0
inme\yok\15504.png,0
inme\var_kanama/PNG\14426.png,1
inme\yok\11452.png,0
inme\yok\12977.png,0
inme\var_iskemi/PNG\12923.png,1
inme\yok\10157.png,0
inme\yok\12123.png,0
inme\yok\15917.png,0
inme\yok\11594.png,0
inme\var_iskemi/PNG\14286.png,1
inme\var_kanama/PNG\14978.png,1
inme\var_iskemi/PNG\14384.png,1
inme\yok\15000.png,0
inme\yok\11035.png,0
inme\yok\13696.png,0
inme\var_kanama/PNG\10820.png,1
inme\yok\15567.png,0
inme\yok\11332.png,0
inme\yok\10675.png,0
inme\yok\14529.png,0
inme\yok\14826.png,0
inme\yok\16490.png,0
inme\var_iskemi/PNG\16653.png,1
inme\yok\10869.png,0
inme\yok\11769.png,0
inme\yok\12480.png,0
inme\yok\16519.png,0
inme\yok\14363.png,0
inme\yok\15213.png,0
inme\yok\10625.png,0
inme\var_kanama/PNG\11812.png,1
inme\yok\10628.png,0
inme\yok\13930.png,0
inme\var_kanama/PNG\16072.png,1
inme\var_iskemi/PNG\16436.png,1
inme\var_iskemi/PNG\13604.png,1
inme\yok\15631.png,0
inme\yok\15248.png,0
inme\var_kanama/PNG\10154.png,1
inme\yok\13258.png,0
inme\yok\14898.png,0
inme\yok\11660.png,0
inme\yok\16186.png,0
inme\yok\13028.png,0
inme\yok\16523.png,0
inme\yok\10544.png,0
inme\yok\16513.png,0
inme\yok\14050.png,0
inme\yok\15350.png,0
inme\var_iskemi/PNG\11579.png,1
inme\yok\14698.png,0
inme\var_iskemi/PNG\16514.png,1
inme\var_iskemi/PNG\14029.png,1
inme\var_kanama/PNG\12231.png,1
inme\yok\10950.png,0
inme\yok\12203.png,0
inme\yok\16832.png,0
inme\var_iskemi/PNG\16873.png,1
inme\yok\12969.png,0
inme\yok\15291.png,0
inme\var_kanama/PNG\12552.png,1
inme\var_kanama/PNG\10878.png,1
inme\yok\11979.png,0
inme\yok\16458.png,0
inme\yok\13929.png,0
inme\yok\16566.png,0
inme\yok\16454.png,0
inme\var_kanama/PNG\14310.png,1
inme\yok\12592.png,0
inme\var_iskemi/PNG\11161.png,1
inme\yok\10655.png,0
inme\var_kanama/PNG\14732.png,1
inme\var_kanama/PNG\15168.png,1
inme\yok\12746.png,0
inme\yok\16504.png,0
inme\yok\11961.png,0
inme\yok\11298.png,0
inme\yok\16369.png,0
inme\yok\12962.png,0
inme\var_kanama/PNG\13336.png,1
inme\var_iskemi/PNG\11020.png,1
inme\yok\13800.png,0
inme\var_iskemi/PNG\13692.png,1
inme\var_iskemi/PNG\16041.png,1
inme\yok\15709.png,0
inme\var_kanama/PNG\15985.png,1
inme\yok\14412.png,0
inme\var_kanama/PNG\10222.png,1
inme\yok\16127.png,0
inme\yok\12379.png,0
inme\yok\10470.png,0
inme\yok\14477.png,0
inme\var_iskemi/PNG\16338.png,1
inme\yok\14928.png,0
inme\var_iskemi/PNG\14087.png,1
inme\yok\11204.png,0
inme\var_iskemi/PNG\13259.png,1
inme\var_kanama/PNG\10547.png,1
inme\yok\13991.png,0
inme\yok\16347.png,0
inme\var_kanama/PNG\13556.png,1
inme\yok\13392.png,0
inme\yok\14332.png,0
inme\yok\11985.png,0
inme\yok\12612.png,0
inme\var_iskemi/PNG\10705.png,1
inme\var_kanama/PNG\10806.png,1
inme\yok\12305.png,0
inme\yok\14429.png,0
inme\yok\16246.png,0
inme\yok\12803.png,0
inme\yok\13379.png,0
inme\var_kanama/PNG\14126.png,1
inme\yok\16901.png,0
inme\var_iskemi/PNG\16022.png,1
inme\yok\16078.png,0
inme\yok\14068.png,0
inme\yok\13652.png,0
inme\yok\13565.png,0
inme\var_iskemi/PNG\10852.png,1
inme\var_iskemi/PNG\12699.png,1
inme\yok\10940.png,0
inme\yok\13490.png,0
inme\yok\10322.png,0
inme\yok\12010.png,0
inme\yok\13937.png,0
inme\yok\12780.png,0
inme\var_kanama/PNG\15356.png,1
inme\yok\13798.png,0
inme\yok\15061.png,0
inme\yok\10995.png,0
inme\yok\13568.png,0
inme\var_kanama/PNG\16599.png,1
inme\yok\14955.png,0
inme\yok\11081.png,0
inme\yok\15273.png,0
inme\var_iskemi/PNG\15278.png,1
inme\var_iskemi/PNG\11377.png,1
inme\yok\14628.png,0
inme\var_kanama/PNG\12984.png,1
inme\yok\11892.png,0
inme\var_kanama/PNG\13607.png,1
inme\var_kanama/PNG\15893.png,1
inme\var_kanama/PNG\16230.png,1
inme\yok\14094.png,0
inme\var_iskemi/PNG\13677.png,1
inme\yok\13643.png,0
inme\yok\16823.png,0
inme\yok\15549.png,0
inme\yok\12675.png,0
inme\yok\14581.png,0
inme\yok\16711.png,0
inme\yok\10939.png,0
inme\yok\14467.png,0
inme\var_kanama/PNG\13817.png,1
inme\var_iskemi/PNG\11443.png,1
inme\yok\10018.png,0
inme\yok\14550.png,0
inme\yok\15290.png,0
inme\yok\15652.png,0
inme\yok\11645.png,0
inme\yok\16686.png,0
inme\var_iskemi/PNG\16219.png,1
inme\yok\15442.png,0
